Schnittmenge aus Top30 BERT & Lexikon,Nur in Top30 BERT,Nur in Top30 Lexikon
Fame/ BBM ist die Gang,CL500,Mondfinsternis
Vs. Timatic [4tel-Finale JBB 2015],Wir sind die Kanalzerstörer,Fotze
Mobbing Hochprofessionell,Cool Story,Fick mich Finch (2018)
Optimal,Das hat mit Islam nichts zu tun,Mit dem Schwanz in der Hand
Phantombild,​futureshit,300
,Kanalzerstörer,Glückskeks
,Deal with It,T.H.A.L
,Ich bin der Nazi,Mein Triggerfinger juckt
,Paff Paff und weiter,Mein Life ist ne Bitch
,Space Invader,Player
,Dämliche Faggots,Move
,Beschissene Songs,Morgens
,Ebbe & Flut,Meine Lieblingsrapper/innen
,World Diggson,Young Professional
,30,Eskalation
,Donuts,Vs. AHMED [4tel-Finale JBB 2012]
,Vs. Neo [Halbfinale JBB 2015],Gang
,Vs. Casa [Platz 3 Battle JBB 2015],Legacy
,Wokebubble Diss,Sex & Gewalt
,Vs. Aslan44 - [Vorrunde 1 - VBT 2015],Stone Island
,ANGST,Bitches Butches Dykes & Divas
,Boykott Lovelock,Ledersklave Frederik
,Prollz,Fuckin
,RevedTV Disstrack,Leck Sibbi
,Blaow,Sailor Moon
